Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,A12,Clarithromycin_1MIC,in 10mM DMSO,DMSO,13.3696989143804,12.5,477.5,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,B12,Clarithromycin_5MIC,in 10mM DMSO,DMSO,66.848494571902,67.5,422.5,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,G1,Clofazimine_0.5MIC,in 10mM DMSO,DMSO,10.5616695887286,10,480,2.11233391774572,0.5,1.05616695887286,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,H10,Clofazimine_10MIC,in 10mM DMSO,DMSO,211.233391774572,210,280,2.11233391774572,10,21.1233391774572,10mM,10,0.994160999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,E3,Clofazimine_1MIC,in 10mM DMSO,DMSO,21.1233391774572,20,470,2.11233391774572,1,2.11233391774572,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,A4,Clofazimine_5MIC,in 10mM DMSO,DMSO,105.616695887286,105,385,2.11233391774572,5,10.5616695887286,10mM,10,0.994160999999999
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,G2,DMSO_0.5MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B3,DMSO_1MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,E7,DMSO_5MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,H8,DMSO_10MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A11,DMSO_R5,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,C12,DMSO_R6,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,D1,Water_0.5MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,G5,Water_1MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A6,Water_5MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,F7,Water_10MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B8,Water_R5,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,C10,Water_R6,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,master plate,NA,96w_22atb_240703_plate4,C11,Doxycycline_0.5MIC,in 1mM DMSO,DMSO,13.50013500135,12.5,477.5,0.270002700027,0.5,0.1350013500135,1mM,1,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,C3,Doxycycline_10MIC,in 10mM DMSO,DMSO,27.0002700027,27.5,462.5,0.270002700027,10,2.70002700027,10mM,10,1.01850833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,E11,Doxycycline_1MIC,in 10mM DMSO,DMSO,2.70002700027,2.5,487.5,0.270002700027,1,0.270002700027,10mM,10,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,D7,Doxycycline_5MIC,in 10mM DMSO,DMSO,13.50013500135,12.5,477.5,0.270002700027,5,1.350013500135,10mM,10,0.925916666666668
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,D3,Ethambutol_0.5MIC,in 10mM DMSO,DMSO,24.4726151436543,25,465,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,A9,Ethambutol_10MIC,in 10mM DMSO,DMSO,489.452302873085,490,0,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,G6,Ethambutol_1MIC,in 10mM DMSO,DMSO,48.9452302873085,50,440,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,B1,Ethambutol_5MIC,in 10mM DMSO,DMSO,244.726151436543,245,245,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,H2,Gepotidacin_0.5MIC,in 1mM DMSO,DMSO,22.2955498082582,22.5,467.5,0.446,0.5,0.222955498082582,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,H12,Gepotidacin_10MIC,in 1mM DMSO,DMSO,445.910996165165,445,45,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,E10,Gepotidacin_1MIC,in 1mM DMSO,DMSO,44.5910996165165,45,445,0.446,1,0.445910996165165,1mM,1,1.00917
