Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,cond_original,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Ciprofloxacin,NA,NA,master plate,tube #8,96w_22atb_240710_plate5,D7,Ciprofloxacin_0.5MIC_lab,Ciprofloxacin_0.5MIC_lab,in 0.05mgmL Water,Water,NA,250,NA,250,0.754498318977745,0.5,0.377249159488872,0.05mgmL,NA,NA
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240710_plate5,G4,Ciprofloxacin_10MIC_FDA,Ciprofloxacin_10MIC_FDA,in 10mM DMSO,DMSO,75.4498318977745,75,425,NA,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,NA,NA,master plate,tube #7,96w_22atb_240710_plate5,H6,Ciprofloxacin_10MIC_lab,Ciprofloxacin_10MIC_lab,in 0.5mgmL Water,Water,NA,500,NA,0,0.754498318977745,10,7.54498318977745,0.5mgmL,NA,NA
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240710_plate5,E6,Ciprofloxacin_1MIC_FDA,Ciprofloxacin_1MIC_FDA,in 10mM DMSO,DMSO,7.54498318977745,7.5,492.5,NA,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,NA,NA,master plate,tube #8,96w_22atb_240710_plate5,F6,Ciprofloxacin_1MIC_lab,Ciprofloxacin_1MIC_lab,in 0.05mgmL Water,Water,NA,500,NA,0,0.754498318977745,1,0.754498318977745,0.05mgmL,NA,NA
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240710_plate5,B5,Ciprofloxacin_5MIC_FDA,Ciprofloxacin_5MIC_FDA,in 10mM DMSO,DMSO,37.7249159488872,37.5,462.5,NA,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Ciprofloxacin,NA,NA,master plate,tube #7,96w_22atb_240710_plate5,B11,Ciprofloxacin_5MIC_lab,Ciprofloxacin_5MIC_lab,in 0.5mgmL Water,Water,NA,250,NA,250,0.754498318977745,5,3.77249159488872,0.5mgmL,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,C2,DMSO_0.5MIC_FDA,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,F3,DMSO_0.5MIC_lab,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,A4,DMSO_1MIC_FDA,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,G5,DMSO_1MIC_lab,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,H9,DMSO_5MIC_FDA,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,E11,DMSO_5MIC_lab,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,B1,DMSO_10MIC_FDA,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,D3,DMSO_10MIC_lab,controlDMSO,NA,DMSO,NA,NA,500,NA,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,A6,Water_0.5MIC_lab,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,G7,Water_1MIC_lab,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,E8,Water_5MIC_lab,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,C12,Water_10MIC_lab,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,G1,Water_0.5MIC_FDA,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,H4,Water_1MIC_FDA,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,D6,Water_5MIC_FDA,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240710_plate5,D10,Water_10MIC_FDA,controlwater,NA,Water,NA,NA,NA,500,NA,NA,NA,NAmM,NA,NA
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240710_plate5,A1,Ethambutol_0.5MIC_FDA,Ethambutol_0.5MIC_FDA,in 10mM DMSO,DMSO,24.4726151436543,25,475,NA,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,NA,NA,master plate,tube #10,96w_22atb_240710_plate5,B6,Ethambutol_0.5MIC_lab,Ethambutol_0.5MIC_lab,in 0.2mgmL Water,Water,NA,250,NA,250,4.89452302873085,0.5,2.44726151436543,0.2mgmL,NA,NA
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240710_plate5,A9,Ethambutol_10MIC_FDA,Ethambutol_10MIC_FDA,in 10mM DMSO,DMSO,489.452302873085,490,10,NA,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,NA,NA,master plate,tube #9,96w_22atb_240710_plate5,C10,Ethambutol_10MIC_lab,Ethambutol_10MIC_lab,in 2mgmL Water,Water,NA,500,NA,0,4.89452302873085,10,48.9452302873085,2mgmL,NA,NA
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240710_plate5,F12,Ethambutol_1MIC_FDA,Ethambutol_1MIC_FDA,in 10mM DMSO,DMSO,48.9452302873085,50,450,NA,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,NA,NA,master plate,tube #10,96w_22atb_240710_plate5,A7,Ethambutol_1MIC_lab,Ethambutol_1MIC_lab,in 0.2mgmL Water,Water,NA,500,NA,0,4.89452302873085,1,4.89452302873085,0.2mgmL,NA,NA
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240710_plate5,F7,Ethambutol_5MIC_FDA,Ethambutol_5MIC_FDA,in 10mM DMSO,DMSO,244.726151436543,245,255,NA,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Ethambutol,NA,NA,master plate,tube #9,96w_22atb_240710_plate5,C3,Ethambutol_5MIC_lab,Ethambutol_5MIC_lab,in 2mgmL Water,Water,NA,250,NA,250,4.89452302873085,5,24.4726151436543,2mgmL,NA,NA
