Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,K1,Clarithromycin_5MIC,1,in 10mM DMSO,DMSO,33.424,35,455,0,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,K22,Trimethoprim_0.5MIC,1,in 10mM DMSO,DMSO,4.306,5,485,0,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,O9,Trimethoprim_10MIC,1,in 10mM DMSO,DMSO,86.112,87.5,402.5,0,1.72223753100028,10,17.2223753100028,10mM,10,1.001604
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,G24,Trimethoprim_1MIC,1,in 10mM DMSO,DMSO,8.611,10,480,0,1.72223753100028,1,1.72223753100028,10mM,10,1.01612
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,O19,Trimethoprim_5MIC,1,in 10mM DMSO,DMSO,43.056,45,445,0,1.72223753100028,5,8.6111876550014,10mM,10,0.987087999999997
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,H11,Ampicillin_10MIC,1,in 10mM DMSO,DMSO,17.888,17.5,472.5,0,0.357750010017,10,3.57750010017,10mM,10,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,K14,Ampicillin_5MIC,1,in 10mM DMSO,DMSO,8.944,10,480,0,0.357750010017,5,1.788750050085,10mM,10,0.978336800000001
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,I7,Clofazimine_0.5MIC,1,in 10mM DMSO,DMSO,5.281,5,485,0,2.11233391774572,0.5,1.05616695887286,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,H1,Clofazimine_10MIC,1,in 10mM DMSO,DMSO,105.617,105,385,0,2.11233391774572,10,21.1233391774572,10mM,10,0.994160999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,N24,Clofazimine_1MIC,1,in 10mM DMSO,DMSO,10.562,10,480,0,2.11233391774572,1,2.11233391774572,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,C13,Clofazimine_5MIC,1,in 10mM DMSO,DMSO,52.808,52.5,437.5,0,2.11233391774572,5,10.5616695887286,10mM,10,0.994160999999999
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,M14,Ethambutol_0.5MIC,1,in 10mM DMSO,DMSO,12.236,12.5,477.5,0,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,D9,Ethambutol_10MIC,1,in 10mM DMSO,DMSO,244.726,245,245,0,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,E20,Ethambutol_1MIC,1,in 10mM DMSO,DMSO,24.473,25,465,0,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,P18,Ethambutol_5MIC,1,in 10mM DMSO,DMSO,122.363,122.5,367.5,0,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,F11,Cefotaxim_10MIC,1,in 10mM DMSO,DMSO,13.173,15,475,0,0.26346411399214,10,2.6346411399214,10mM,10,1.04378541666667
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,P16,Cefotaxim_1MIC,1,in 10mM DMSO,DMSO,1.317,2.5,487.5,0,0.26346411399214,1,0.26346411399214,10mM,10,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,I19,Cefotaxim_5MIC,1,in 10mM DMSO,DMSO,6.587,7.5,482.5,0,0.26346411399214,5,1.3173205699607,10mM,10,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,J9,Doxycycline_10MIC,1,in 10mM DMSO,DMSO,13.5,15,475,0,0.270002700027,10,2.70002700027,10mM,10,1.01850833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,A8,Doxycycline_1MIC,1,in 10mM DMSO,DMSO,1.35,2.5,487.5,0,0.270002700027,1,0.270002700027,10mM,10,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,K10,Doxycycline_5MIC,1,in 10mM DMSO,DMSO,6.75,7.5,482.5,0,0.270002700027,5,1.350013500135,10mM,10,0.925916666666668
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,I23,Sulfamethoxazole_0.5MIC,1,in 10mM DMSO,DMSO,4.935,5,485,0,1.97409981048642,0.5,0.98704990524321,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,P11,Sulfamethoxazole_10MIC,1,in 10mM DMSO,DMSO,98.705,100,390,0,1.97409981048642,10,19.7409981048642,10mM,10,1.000456
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,K16,Sulfamethoxazole_1MIC,1,in 10mM DMSO,DMSO,9.87,10,480,0,1.97409981048642,1,1.97409981048642,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,K18,Sulfamethoxazole_5MIC,1,in 10mM DMSO,DMSO,49.352,50,440,0,1.97409981048642,5,9.8704990524321,10mM,10,0.987791999999999
