Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,C6,Sulfamethoxazole_5MIC,in 10mM DMSO,DMSO,98.704990524321,97.5,392.5,0,1.97409981048642,5,9.8704990524321,10mM,10,0.987791999999999
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,F11,Moxifloxacin_10MIC,in 10mM DMSO,DMSO,29.8930575864844,30,460,0,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,E10,Moxifloxacin_1MIC,in 10mM DMSO,DMSO,2.98930575864844,2.5,487.5,0,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,C8,Moxifloxacin_5MIC,in 10mM DMSO,DMSO,14.9465287932422,15,475,0,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,A11,Ciprofloxacin_0.5MIC,in 10mM DMSO,DMSO,3.77249159488872,5,485,0,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,H4,Ciprofloxacin_10MIC,in 10mM DMSO,DMSO,75.4498318977745,75,415,0,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,B4,Ciprofloxacin_1MIC,in 10mM DMSO,DMSO,7.54498318977745,7.5,482.5,0,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,D4,Ciprofloxacin_5MIC,in 10mM DMSO,DMSO,37.7249159488872,37.5,452.5,0,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,C11,Amikacin_0.5MIC,in 10mM Water,Water,8.5382513661202,7.5,0,492.5,1.70765027322404,0.5,0.85382513661202,10mM,10,0.878400000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,A10,Amikacin_10MIC,in 10mM Water,Water,170.765027322404,170,0,330,1.70765027322404,10,17.0765027322404,10mM,10,0.995520000000002
